run,phase,iteration,case,latency_ms,status,route,compile_submissions,eager_fallback,max_abs_error
default-r1,serving,45,batch2_contiguous,0.067109,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,45,batch4_contiguous,0.064079,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,45,batch2_strided,0.069149,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,45,batch3_strided_late,0.072759,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,46,batch0_contiguous,0.04657,ok,compiled_cache,0,False,0.0
default-r1,serving,46,batch1_contiguous,0.059239,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,46,batch2_contiguous,0.06428,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,46,batch4_contiguous,0.063219,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,46,batch2_strided,0.066379,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,46,batch3_strided_late,0.067679,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,47,batch0_contiguous,0.047328,ok,compiled_cache,0,False,0.0
default-r1,serving,47,batch1_contiguous,0.061139,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,47,batch2_contiguous,0.06504,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,47,batch4_contiguous,0.059629,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,47,batch2_strided,0.076689,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,47,batch3_strided_late,0.066189,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,48,batch0_contiguous,0.04512,ok,compiled_cache,0,False,0.0
